Tên vật phẩm,Chỉ số cơ bản,Số lần nâng cấp,Yêu cầu,Phân loại,Job,Máy xổ số
Thuốc tiên,,,,Use,,Thị Trấn Xanh
Thuốc tiên lớn,,,,Use,,Thị Trấn Xanh
Bánh bí ngô,,,,Use,,Thị Trấn Xanh
Dưa hấu,,,,Use,,Thị Trấn Xanh
Cuộn giấy cung tăng tấn công vật lý 10%,10%,,,Scroll,,Thị Trấn Xanh
Cuộn giấy nỏ tăng tấn công vật lý 10%,10%,,,Scroll,,Thị Trấn Xanh
Cuộn giấy găng tay tăng tấn công vật lý 10%,10%,,,Scroll,,Thị Trấn Xanh
(Quỷ) Cuộn giấy cung tăng tấn công vật lý 30%,30%,,,Scroll,,Thị Trấn Xanh
(Quỷ) Cuộn giấy nỏ tăng tấn công vật lý 30%,30%,,,Scroll,,Thị Trấn Xanh
(Quỷ) Cuộn giấy găng tay tăng tấn công vật lý 30%,30%,,,Scroll,,Thị Trấn Xanh
Cuộn giấy cung tăng tấn công vật lý 60%,60%,,,Scroll,,Thị Trấn Xanh
Cuộn giấy nỏ tăng tấn công vật lý 60%,60%,,,Scroll,,Thị Trấn Xanh
Cuộn giấy găng tay tăng tấn công vật lý 60%,60%,,,Scroll,,Thị Trấn Xanh
Cuộn giấy áo choàng tăng tấn công pháp thuật 60%,60%,,,Scroll,,Thị Trấn Xanh
(Quỷ) Cuộn giấy cung tăng tấn công vật lý 70%,70%,,,Scroll,,Thị Trấn Xanh
(Quỷ) Cuộn giấy nỏ tăng tấn công vật lý 70%,70%,,,Scroll,,Thị Trấn Xanh
(Quỷ) Cuộn giấy găng tay tăng tấn công vật lý 70%,70%,,,Scroll,,Thị Trấn Xanh
Advanced Equip Enhancement Scroll,,,,Scroll,,Thị Trấn Xanh
Ghế tính yêu,,,,Chair,,Thị Trấn Xanh
Ghế thư giãn,,,,Chair,,Thị Trấn Xanh
Ghế trăng sao,,,,Chair,,Thị Trấn Xanh
Ghế hải cẩu vàng,,,,Chair,,Thị Trấn Xanh
Nỏ quạ vàng,Tự vào game xem đi,7,Lười ghi bome,Vũ khí,Bowman,Thị Trấn Xanh
Nỏ én trắng,Tự vào game xem đi,7,Lười ghi bome,Vũ khí,Bowman,Thị Trấn Xanh
Dao nữ thần hủy diệt,Tự vào game xem đi,7,Lười ghi bome,Vũ khí,Thief,Thị Trấn Xanh
Cung chim ưng,Tự vào game xem đi,7,Lười ghi bome,Vũ khí,Bowman,Thị Trấn Xanh
Nỏ ngầm lam,Tự vào game xem đi,7,Lười ghi bome,Vũ khí,Bowman,Thị Trấn Xanh
Cung vẹt vàng,Tự vào game xem đi,7,Lười ghi bome,Vũ khí,Bowman,Thị Trấn Xanh
Nỏ én vàng,Tự vào game xem đi,7,Lười ghi bome,Vũ khí,Bowman,Thị Trấn Xanh
Nỏ ngầm lửa,Tự vào game xem đi,7,Lười ghi bome,Vũ khí,Bowman,Thị Trấn Xanh
Gậy phép sét,Tự vào game xem đi,7,LV: 70,Vũ khí,Magician,Thị Trấn Xanh
Nỏ quạ đen,Tự vào game xem đi,7,Lười ghi bome,Vũ khí,Bowman,Thị Trấn Xanh
Nỏ én đen,Tự vào game xem đi,7,Lười ghi bome,Vũ khí,Bowman,Thị Trấn Xanh
Nỏ thiện xạ,Tự vào game xem đi,7,Lười ghi bome,Vũ khí,Bowman,Thị Trấn Xanh
Nỏ quạ,Tự vào game xem đi,7,Lười ghi bome,Vũ khí,Bowman,Thị Trấn Xanh
Cung chim xanh,Tự vào game xem đi,7,Lười ghi bome,Vũ khí,Bowman,Thị Trấn Xanh
Găng chính xác đen,Tự vào game xem đi,5,Lười ghi bome,Găng tay,Bowman,Thị Trấn Xanh
Găng tay lao động nâu,Tự vào game xem đi,7,Lười ghi bome,Găng tay,FULL,Thị Trấn Xanh
